reference_key,proxy_model,source_model,gpu,workload,target_tok_s_user,target_met,effective_output_tps_per_mw,selected_tok_s_user,observed_tok_s_user,performance_multiplier_vs_source,source_gpu,benchmark_id,framework,precision,spec_method,concurrency,benchmark_type,selected_isl,selected_osl,candidate_rows,eligible_rows,selection_status,source_type,benchmark_date,run_url,method_note
Kimi K2.5|B200|agentic|100,Kimi K2.5,,B200,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|B300|short|30,Kimi K2.5,kimik2.5,B300,short,30,True,558962.190034,34.379051,34.379051,1.0,B300,420124,vllm,fp4,none,128,single_turn,1024,1024,21,20,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27045004683/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|B300|long|30,Kimi K2.5,kimik2.5,B300,long,30,True,275353.667577,33.632509,33.632509,1.0,B300,439122,vllm,fp4,none,64,single_turn,8192,1024,35,25,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31148296509/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|B300|agentic|30,Kimi K2.5,,B300,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|B300|short|50,Kimi K2.5,kimik2.5,B300,short,50,True,249783.742153,60.916373,60.916373,1.0,B300,420116,vllm,fp4,none,32,single_turn,1024,1024,21,16,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27045004683/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|B300|long|50,Kimi K2.5,kimik2.5,B300,long,50,True,205221.176275,50.289044,50.289044,1.0,B300,439132,vllm,fp4,none,32,single_turn,8192,1024,35,18,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31148296509/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|B300|agentic|50,Kimi K2.5,,B300,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|B300|short|70,Kimi K2.5,kimik2.5,B300,short,70,True,230833.413974,113.083109,113.083109,1.0,B300,420118,vllm,fp4,none,16,single_turn,1024,1024,21,12,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27045004683/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|B300|long|70,Kimi K2.5,kimik2.5,B300,long,70,True,147315.165594,73.207476,73.207476,1.0,B300,439121,vllm,fp4,none,16,single_turn,8192,1024,35,15,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31148296509/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|B300|agentic|70,Kimi K2.5,,B300,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|B300|short|100,Kimi K2.5,kimik2.5,B300,short,100,True,230833.413974,113.083109,113.083109,1.0,B300,420118,vllm,fp4,none,16,single_turn,1024,1024,21,9,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27045004683/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|B300|long|100,Kimi K2.5,kimik2.5,B300,long,100,True,61516.42725,122.543143,122.543143,1.0,B300,439131,vllm,fp4,none,4,single_turn,8192,1024,35,9,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31148296509/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|B300|agentic|100,Kimi K2.5,,B300,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB200|short|30,Kimi K2.5,kimik2.5,GB200,short,30,True,4798956.730083,38.113432,38.113432,1.0,GB200,426501,dynamo-trt,fp4,none,4301,single_turn,1024,1024,36,31,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|GB200|long|30,Kimi K2.5,kimik2.5,GB200,long,30,True,2462470.372289,38.749885,38.749885,1.0,GB200,426504,dynamo-trt,fp4,none,2253,single_turn,8192,1024,35,31,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|GB200|agentic|30,Kimi K2.5,,GB200,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB200|short|50,Kimi K2.5,kimik2.5,GB200,short,50,True,3043267.567684,50.105693,50.105693,1.0,GB200,426499,dynamo-trt,fp4,none,4301,single_turn,1024,1024,36,23,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|GB200|long|50,Kimi K2.5,kimik2.5,GB200,long,50,True,985185.484085,61.932611,61.932611,1.0,GB200,426509,dynamo-trt,fp4,none,1229,single_turn,8192,1024,35,22,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|GB200|agentic|50,Kimi K2.5,,GB200,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB200|short|70,Kimi K2.5,kimik2.5,GB200,short,70,True,1169891.082143,74.580365,74.580365,1.0,GB200,426495,dynamo-trt,fp4,none,1127,single_turn,1024,1024,36,18,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|GB200|long|70,Kimi K2.5,kimik2.5,GB200,long,70,True,594793.835839,74.629144,74.629144,1.0,GB200,426510,dynamo-trt,fp4,none,666,single_turn,8192,1024,35,19,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|GB200|agentic|70,Kimi K2.5,,GB200,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB200|short|100,Kimi K2.5,kimik2.5,GB200,short,100,True,117030.148647,113.336896,113.336896,1.0,GB200,426507,dynamo-trt,fp4,none,60,single_turn,1024,1024,36,12,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|GB200|long|100,Kimi K2.5,kimik2.5,GB200,long,100,True,109937.641485,107.463918,107.463918,1.0,GB200,426511,dynamo-trt,fp4,none,60,single_turn,8192,1024,35,12,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-20,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27591355916/attempts/6,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|GB200|agentic|100,Kimi K2.5,,GB200,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB300|short|30,Kimi K2.5,kimik2.5,GB300,short,30,True,4529174.537271,40.234539,40.234539,1.0,GB300,426864,dynamo-trt,fp4,none,4301,single_turn,1024,1024,22,19,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|GB300|long|30,Kimi K2.5,kimik2.5,GB300,long,30,True,2177077.36017,38.89428,38.89428,1.0,GB300,426862,dynamo-trt,fp4,none,2253,single_turn,8192,1024,18,17,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
Kimi K2.5|GB300|agentic|30,Kimi K2.5,,GB300,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB300|short|50,Kimi K2.5,kimik2.5,GB300,short,50,True,2888665.817598,52.028072,52.028072,1.0,GB300,426853,dynamo-trt,fp4,none,4301,single_turn,1024,1024,22,16,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|GB300|long|50,Kimi K2.5,kimik2.5,GB300,long,50,True,877936.375657,62.54106,62.54106,1.0,GB300,426851,dynamo-trt,fp4,none,1229,single_turn,8192,1024,18,13,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
Kimi K2.5|GB300|agentic|50,Kimi K2.5,,GB300,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB300|short|70,Kimi K2.5,kimik2.5,GB300,short,70,True,1069827.842115,76.141572,76.141572,1.0,GB300,426848,dynamo-trt,fp4,none,1229,single_turn,1024,1024,22,13,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|GB300|long|70,Kimi K2.5,kimik2.5,GB300,long,70,True,520354.890274,74.849998,74.849998,1.0,GB300,426854,dynamo-trt,fp4,none,615,single_turn,8192,1024,18,11,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
Kimi K2.5|GB300|agentic|70,Kimi K2.5,,GB300,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|GB300|short|100,Kimi K2.5,kimik2.5,GB300,short,100,True,105347.631625,113.809506,113.809506,1.0,GB300,426849,dynamo-trt,fp4,none,60,single_turn,1024,1024,22,8,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|GB300|long|100,Kimi K2.5,kimik2.5,GB300,long,100,True,97638.697318,107.772349,107.772349,1.0,GB300,426850,dynamo-trt,fp4,none,60,single_turn,8192,1024,18,7,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27663808752/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
Kimi K2.5|GB300|agentic|100,Kimi K2.5,,GB300,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|short|30,Kimi K2.5,kimik2.5,R200,short,30,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|long|30,Kimi K2.5,kimik2.5,R200,long,30,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|agentic|30,Kimi K2.5,,R200,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|short|50,Kimi K2.5,kimik2.5,R200,short,50,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|long|50,Kimi K2.5,kimik2.5,R200,long,50,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|agentic|50,Kimi K2.5,,R200,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|short|70,Kimi K2.5,kimik2.5,R200,short,70,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|long|70,Kimi K2.5,kimik2.5,R200,long,70,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|agentic|70,Kimi K2.5,,R200,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|short|100,Kimi K2.5,kimik2.5,R200,short,100,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|long|100,Kimi K2.5,kimik2.5,R200,long,100,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R200|agentic|100,Kimi K2.5,,R200,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|short|30,Kimi K2.5,kimik2.5,VR200,short,30,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|long|30,Kimi K2.5,kimik2.5,VR200,long,30,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|agentic|30,Kimi K2.5,,VR200,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|short|50,Kimi K2.5,kimik2.5,VR200,short,50,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|long|50,Kimi K2.5,kimik2.5,VR200,long,50,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|agentic|50,Kimi K2.5,,VR200,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|short|70,Kimi K2.5,kimik2.5,VR200,short,70,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|long|70,Kimi K2.5,kimik2.5,VR200,long,70,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|agentic|70,Kimi K2.5,,VR200,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|short|100,Kimi K2.5,kimik2.5,VR200,short,100,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|long|100,Kimi K2.5,kimik2.5,VR200,long,100,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR200|agentic|100,Kimi K2.5,,VR200,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|short|30,Kimi K2.5,kimik2.5,R300,short,30,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|long|30,Kimi K2.5,kimik2.5,R300,long,30,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|agentic|30,Kimi K2.5,,R300,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|short|50,Kimi K2.5,kimik2.5,R300,short,50,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|long|50,Kimi K2.5,kimik2.5,R300,long,50,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|agentic|50,Kimi K2.5,,R300,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|short|70,Kimi K2.5,kimik2.5,R300,short,70,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|long|70,Kimi K2.5,kimik2.5,R300,long,70,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|agentic|70,Kimi K2.5,,R300,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|short|100,Kimi K2.5,kimik2.5,R300,short,100,False,,,,,B300,,,,,,single_turn,1024,1024,21,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|long|100,Kimi K2.5,kimik2.5,R300,long,100,False,,,,,B300,,,,,,single_turn,8192,1024,35,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|R300|agentic|100,Kimi K2.5,,R300,agentic,100,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|short|30,Kimi K2.5,kimik2.5,VR300,short,30,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|long|30,Kimi K2.5,kimik2.5,VR300,long,30,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|agentic|30,Kimi K2.5,,VR300,agentic,30,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|short|50,Kimi K2.5,kimik2.5,VR300,short,50,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|long|50,Kimi K2.5,kimik2.5,VR300,long,50,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|agentic|50,Kimi K2.5,,VR300,agentic,50,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|short|70,Kimi K2.5,kimik2.5,VR300,short,70,False,,,,,GB300,,,,,,single_turn,1024,1024,22,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|long|70,Kimi K2.5,kimik2.5,VR300,long,70,False,,,,,GB300,,,,,,single_turn,8192,1024,18,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
Kimi K2.5|VR300|agentic|70,Kimi K2.5,,VR300,agentic,70,False,,,,,,,,,,,agentic_traces,,,0,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
